head,lemma,dep,pos,sim,relation
titre,galette,nmod,NOUN,0.4977174997329712,"[{""id"": 941628754, ""node1"": 7970, ""node2"": 28590, ""type"": 0, ""w"": 20.0}]"
galette,oignon,nmod,NOUN,0.6775266528129578,"[{""id"": 652207682, ""node1"": 28590, ""node2"": 123307, ""type"": 0, ""w"": 21.0}]"
galette,ingrédient,nmod,NOUN,0.6757978796958923,[]
galette,beurre,amod,NOUN,0.718126118183136,"[{""id"": 1586065, ""node1"": 28590, ""node2"": 140377, ""type"": 0, ""w"": 109.0}, {""id"": 1009399449, ""node1"": 28590, ""node2"": 140377, ""type"": 666, ""w"": 2.0}]"
set,poêle,nmod,NOUN,0.5301709771156311,[]
pinceau,balance,nmod,NOUN,0.4696744382381439,[]
balance,cuisine,nmod,NOUN,0.5991910099983215,[]
galette,étape,nmod,NOUN,0.4841375946998596,[]
faire,fondue,obj,NOUN,0.5832715034484863,[]
titre,poêle,nmod,NOUN,0.6306821703910828,[]
déposer,tranche,obj,NOUN,0.461878627538681,[]
surface,tout,amod,ADJ,0.5027230978012085,[]
surface,poêle,nmod,NOUN,0.6465868949890137,[]
obtention,galette,nmod,NOUN,0.5575937032699585,[]
galette,croquant,amod,ADJ,0.6236305236816406,[]
façon,même,amod,ADJ,0.4143386781215668,[]
