head,lemma,dep,pos,sim,relations,relation_name,w
concerner,cuisine,obj,NOUN,0.6019042730331421,[],,
cuisine,japonais,amod,ADJ,0.5706702470779419,[],,
aide,tige,nmod,NOUN,0.4540750384330749,[],,
tige,bambou,nmod,NOUN,0.4534120261669159,"[{""id"": 645058846, ""node1"": 25437, ""node2"": 42456, ""type"": 5, ""w"": 30.0}]",r_syn,30.0
ficelle,coton,nmod,NOUN,0.4773666262626648,"[{""id"": 558634928, ""node1"": 94536, ""node2"": 84939, ""type"": 0, ""w"": 27.0}, {""id"": 115534201, ""node1"": 94536, ""node2"": 84939, ""type"": 777, ""w"": 10.0}]",r_associated,27.0
créer,variété,obj,NOUN,0.4107175767421722,[],,
variété,sushi,nmod,NOUN,0.5175958275794983,"[{""id"": 941728541, ""node1"": 17138, ""node2"": 39650, ""type"": 0, ""w"": 20.0}]",r_associated,20.0
sushi,mêler,acl,VERB,0.5337768197059631,[],,
riz,rond,amod,ADJ,0.6471993923187256,"[{""id"": 3196069, ""node1"": 24372, ""node2"": 82147, ""type"": 0, ""w"": 26.0}, {""id"": 539963082, ""node1"": 24372, ""node2"": 82147, ""type"": 8, ""w"": -25.0}, {""id"": 239261, ""node1"": 24372, ""node2"": 82147, ""type"": 17, ""w"": 132.0}]",r_carac,132.0
riz,long,amod,ADJ,0.6600798964500427,"[{""id"": 2207433, ""node1"": 24372, ""node2"": 84432, ""type"": 0, ""w"": 48.0}, {""id"": 373265, ""node1"": 24372, ""node2"": 84432, ""type"": 8, ""w"": 101.0}, {""id"": 2207440, ""node1"": 24372, ""node2"": 84432, ""type"": 17, ""w"": 57.0}]",r_hypo,101.0
œuf,poisson,nmod,NOUN,0.5696192979812622,[],,
donner,certaine,obj,NOUN,0.4194785952568054,[],,
certaine,forme,amod,NOUN,0.4328327476978302,"[{""id"": 584431807, ""node1"": 275482, ""node2"": 142000, ""type"": 17, ""w"": -5.0}]",r_carac,-5.0
certaine,omelette,nmod,NOUN,0.5888964533805847,[],,
retirer,excédent,obj,NOUN,0.4331911504268646,[],,
excédent,liquide,nmod,NOUN,0.5068419575691223,[],,
mettre,feuille,obj,NOUN,0.5145459771156311,[],,
feuille,salade,nmod,NOUN,0.6194815635681152,"[{""id"": 614208544, ""node1"": 37993, ""node2"": 118908, ""type"": 0, ""w"": 30.0}, {""id"": 775213406, ""node1"": 37993, ""node2"": 118908, ""type"": 174, ""w"": 25.0}]",r_associated,30.0
feuille,intérieur,nmod,NOUN,0.507889986038208,[],,
avoir,type,obj,NOUN,0.4321612119674682,[],,
