head,lemma,dep,pos,sim,relations,relation_name,w
titre,salade,nmod,NOUN,0.6000369191169739,[],,
mets,salade,nsubj,NOUN,0.6349226832389832,"[{""id"": 34697530, ""node1"": 114839, ""node2"": 118908, ""type"": 0, ""w"": -30.0}, {""id"": 34660483, ""node1"": 114839, ""node2"": 118908, ""type"": 8, ""w"": -54.0}]",r_associated,-30.0
mets,français,amod,ADJ,0.4565880000591278,[],,
mets,origine,nmod,NOUN,0.4991871118545532,[],,
pomme,terre,nmod,NOUN,0.5521974563598633,"[{""id"": 34768529, ""node1"": 37201, ""node2"": 25705, ""type"": 0, ""w"": 39.0}]",r_associated,39.0
pomme,tomate,nmod,NOUN,0.6015421748161316,"[{""id"": 952375914, ""node1"": 37201, ""node2"": 22138, ""type"": 0, ""w"": 10.0}]",r_associated,10.0
pomme,œuf,nmod,NOUN,0.5946515798568726,[],,
œuf,dur,amod,ADJ,0.5370863080024719,"[{""id"": 560384151, ""node1"": 174124, ""node2"": 72731, ""type"": 0, ""w"": 67.0}]",r_associated,67.0
origine,même,amod,ADJ,0.4328928589820862,[],,
salade,composer,acl:relcl,VERB,0.6014893054962158,"[{""id"": 97758174, ""node1"": 118908, ""node2"": 54882, ""type"": 38, ""w"": 15.0}]",r_agentif_role,15.0
pomme,poivron,nmod,NOUN,0.6418212056159973,[],,
pomme,anchois,nmod,NOUN,0.6209477186203003,[],,
venir,salade,nsubj,NOUN,0.614779531955719,[],,
salade,russe,amod,ADJ,0.5352895259857178,[],,
mode,début,nmod,NOUN,0.4218063354492187,[],,
transmettre,cuisinier,nsubj,NOUN,0.5367017984390259,[],,
cuisinier,cour,nmod,NOUN,0.4463083446025848,[],,
transmettre,recette,obj,NOUN,0.6048019528388977,"[{""id"": 97946725, ""node1"": 118740, ""node2"": 120188, ""type"": 0, ""w"": 15.0}, {""id"": 529398702, ""node1"": 118740, ""node2"": 120188, ""type"": 14, ""w"": 30.0}]",r_patient,30.0
recette,homologue,nmod,NOUN,0.5824956893920898,[],,
revisiter,qui,nsubj,PRON,0.4048258662223816,[],,
revisiter,préparation,obj,NOUN,0.5396131873130798,[],,
préparation,ingrédient,nmod,NOUN,0.6756798028945923,"[{""id"": 601611764, ""node1"": 33634, ""node2"": 123418, ""type"": 0, ""w"": 24.0}]",r_associated,24.0
ingrédient,disponible,amod,ADJ,0.5363836884498596,"[{""id"": 410014570, ""node1"": 123418, ""node2"": 100702, ""type"": 17, ""w"": 26.0}]",r_carac,26.0
potager,royal,amod,ADJ,0.4214998483657837,[],,
potager,carotte,appos,NOUN,0.589856743812561,"[{""id"": 2065418, ""node1"": 49759, ""node2"": 76234, ""type"": 0, ""w"": 43.0}, {""id"": 162549, ""node1"": 49759, ""node2"": 76234, ""type"": 9, ""w"": 60.0}, {""id"": 280930386, ""node1"": 49759, ""node2"": 76234, ""type"": 28, ""w"": 66.0}]",r_lieu-1,66.0
pois,petit,amod,ADJ,0.5433869957923889,"[{""id"": 1743094, ""node1"": 97846, ""node2"": 55222, ""type"": 0, ""w"": 105.0}, {""id"": 1525554, ""node1"": 97846, ""node2"": 55222, ""type"": 666, ""w"": 2.0}]",r_associated,105.0
crème,place,nmod,NOUN,0.6110612154006958,[],,
rencontre,salade,nsubj,NOUN,0.6160572171211243,[],,
salade,modifier,acl,VERB,0.6053266525268555,[],,
crème,auprès,acl,ADV,0.5579938888549805,[],,
reprendre,recette,nsubj:pass,NOUN,0.6154425740242004,[],,
ajout,tomate,nmod,NOUN,0.5641289949417114,[],,
ajout,cuire,amod,VERB,0.6935203075408936,[],,
ingrédient,nombreux,amod,ADJ,0.53546541929245,[],,
inédit,ingrédient,nsubj,NOUN,0.497304767370224,[],,
