head,lemma,dep,pos,sim,relations,relation_name,w
pâte,pizza,nmod,NOUN,0.6624228358268738,"[{""id"": 2005, ""node1"": 34069, ""node2"": 109533, ""type"": 0, ""w"": 138.0}, {""id"": 9622249, ""node1"": 34069, ""node2"": 109533, ""type"": 8, ""w"": -16.0}, {""id"": 9983345, ""node1"": 34069, ""node2"": 109533, ""type"": 10, ""w"": 48.0}, {""id"": 24920569, ""node1"": 34069, ""node2"": 109533, ""type"": 15, ""w"": 17.0}, {""id"": 1010158373, ""node1"": 34069, ""node2"": 109533, ""type"": 70, ""w"": -25.0}]",r_associated,138.0
pizza,épais,amod,ADJ,0.6235144734382629,[],,
pâte,ingrédient,nmod,NOUN,0.6811284422874451,"[{""id"": 24920568, ""node1"": 34069, ""node2"": 123418, ""type"": 6, ""w"": 17.0}]",r_isa,17.0
pâte,levure,nmod,NOUN,0.6360658407211304,"[{""id"": 122579997, ""node1"": 34069, ""node2"": 53450, ""type"": 0, ""w"": 53.0}, {""id"": 96931474, ""node1"": 34069, ""node2"": 53450, ""type"": 50, ""w"": 24.0}, {""id"": 1042198620, ""node1"": 34069, ""node2"": 53450, ""type"": 129, ""w"": 31.0}]",r_associated,53.0
levure,sel,nmod,NOUN,0.6924784183502197,[],,
sel,farine,amod,NOUN,0.7164311408996582,[],,
sel,eau,nmod,NOUN,0.6719006896018982,"[{""id"": 413184, ""node1"": 13260, ""node2"": 65012, ""type"": 0, ""w"": 59.0}, {""id"": 224105, ""node1"": 13260, ""node2"": 65012, ""type"": 15, ""w"": 98.0}, {""id"": 652227842, ""node1"": 13260, ""node2"": 65012, ""type"": 666, ""w"": 2.0}]",r_lieu,98.0
pâte,saladier,nmod,NOUN,0.6635634303092957,[],,
four,cuillère,nsubj,NOUN,0.7153509855270386,[],,
cuillère,bois,nmod,NOUN,0.5910300612449646,"[{""id"": 423608378, ""node1"": 51905, ""node2"": 96256, ""type"": 0, ""w"": 41.0}, {""id"": 1977342, ""node1"": 51905, ""node2"": 96256, ""type"": 50, ""w"": 27.0}, {""id"": 3906289, ""node1"": 51905, ""node2"": 96256, ""type"": 777, ""w"": 9.0}]",r_associated,41.0
cuillère,four,nmod,NOUN,0.7153509855270386,[],,
four,papier,nmod,NOUN,0.6729456186294556,[],,
papier,top,nmod,NOUN,0.4000419974327087,[],,
plaque,meilleur,amod,ADJ,0.5153307318687439,[],,
top,plaque,nmod,NOUN,0.4243907332420349,[],,
four,balance,obj,NOUN,0.6809696555137634,[],,
balance,cuisine,nmod,NOUN,0.5991910099983215,[],,
table,induction,amod,NOUN,0.5181390047073364,[],,
mettre,gramme,obj,NOUN,0.4705629348754883,[],,
gramme,farine,nmod,NOUN,0.6095054149627686,"[{""id"": 775213298, ""node1"": 140383, ""node2"": 127629, ""type"": 174, ""w"": 25.0}]",r_quantificateur-1,25.0
saladier,grand,amod,ADJ,0.534858763217926,"[{""id"": 1077330492, ""node1"": 45455, ""node2"": 23178, ""type"": 0, ""w"": 50.0}, {""id"": 31838076, ""node1"": 45455, ""node2"": 23178, ""type"": 17, ""w"": 60.0}, {""id"": 1668931, ""node1"": 45455, ""node2"": 23178, ""type"": 666, ""w"": 2.0}]",r_carac,60.0
ajouter,sel,obj,NOUN,0.6747812032699585,"[{""id"": 914306223, ""node1"": 25099, ""node2"": 13260, ""type"": 0, ""w"": 20.0}, {""id"": 220261, ""node1"": 25099, ""node2"": 13260, ""type"": 14, ""w"": 70.0}]",r_patient,70.0
levure,boulanger,amod,ADJ,0.5430918335914612,"[{""id"": 1769594, ""node1"": 53450, ""node2"": 145285, ""type"": 0, ""w"": 90.0}, {""id"": 376186762, ""node1"": 53450, ""node2"": 145285, ""type"": 25, ""w"": 26.0}]",r_associated,90.0
huile,olive,nmod,NOUN,0.577674388885498,"[{""id"": 143577, ""node1"": 141971, ""node2"": 238, ""type"": 0, ""w"": 441.0}, {""id"": 580646, ""node1"": 141971, ""node2"": 238, ""type"": 5, ""w"": 35.0}, {""id"": 214590, ""node1"": 141971, ""node2"": 238, ""type"": 8, ""w"": 101.0}, {""id"": 9972834, ""node1"": 141971, ""node2"": 238, ""type"": 9, ""w"": 10.0}, {""id"": 96691611, ""node1"": 141971, ""node2"": 238, ""type"": 35, ""w"": 34.0}, {""id"": 1808072, ""node1"": 141971, ""node2"": 238, ""type"": 42, ""w"": 92.0}, {""id"": 653727906, ""node1"": 141971, ""node2"": 238, ""type"": 666, ""w"": 5.0}]",r_associated,441.0
verser,eau,obj,NOUN,0.5738218426704407,"[{""id"": 383589, ""node1"": 104506, ""node2"": 65012, ""type"": 0, ""w"": 232.0}, {""id"": 167908, ""node1"": 104506, ""node2"": 65012, ""type"": 14, ""w"": 100.0}, {""id"": 376198934, ""node1"": 104506, ""node2"": 65012, ""type"": 16, ""w"": 26.0}, {""id"": 645787357, ""node1"": 104506, ""node2"": 65012, ""type"": 666, ""w"": 3.0}]",r_associated,232.0
eau,tiède,amod,ADJ,0.5831737518310547,"[{""id"": 796965917, ""node1"": 65012, ""node2"": 13843, ""type"": 0, ""w"": 29.0}, {""id"": 128780, ""node1"": 65012, ""node2"": 13843, ""type"": 17, ""w"": 73.0}, {""id"": 600063832, ""node1"": 65012, ""node2"": 13843, ""type"": 27, ""w"": 32.0}]",r_carac,73.0
eau,tout,amod,ADV,0.58939129114151,[],,
obtention,pâte,nmod,NOUN,0.613581120967865,[],,
