head,lemma,dep,pos,sim,relation,relation_name,w
truffe,ingrédient,nmod,NOUN,0.6632968187332153,[],,
ingrédient,poivre,amod,NOUN,0.7064663171768188,"[{""id"": 24923435, ""node1"": 123418, ""node2"": 139597, ""type"": 0, ""w"": 15.0}, {""id"": 24850733, ""node1"": 123418, ""node2"": 139597, ""type"": 8, ""w"": 26.0}]",r_hypo,26.0
poivre,muscade,nmod,NOUN,0.6142682433128357,"[{""id"": 920103858, ""node1"": 139597, ""node2"": 115297, ""type"": 0, ""w"": 21.0}]",r_associated,21.0
beurre,blanc,amod,ADJ,0.6481732726097107,"[{""id"": 208767, ""node1"": 140377, ""node2"": 15196, ""type"": 17, ""w"": 167.0}, {""id"": 3163442, ""node1"": 140377, ""node2"": 15196, ""type"": 106, ""w"": 14.0}, {""id"": 2040375, ""node1"": 140377, ""node2"": 15196, ""type"": 666, ""w"": 1.0}]",r_carac,167.0
blanc,vin,nmod,NOUN,0.6016787886619568,"[{""id"": 236008, ""node1"": 15196, ""node2"": 35798, ""type"": 0, ""w"": 114.0}, {""id"": 31145435, ""node1"": 15196, ""node2"": 35798, ""type"": 3, ""w"": 38.0}, {""id"": 54662797, ""node1"": 15196, ""node2"": 35798, ""type"": 5, ""w"": 65.0}, {""id"": 9926174, ""node1"": 15196, ""node2"": 35798, ""type"": 6, ""w"": 108.0}, {""id"": 405281, ""node1"": 15196, ""node2"": 35798, ""type"": 23, ""w"": 65.0}, {""id"": 1933494, ""node1"": 15196, ""node2"": 35798, ""type"": 35, ""w"": 29.0}, {""id"": 1793803, ""node1"": 15196, ""node2"": 35798, ""type"": 666, ""w"": 1.0}]",r_associated,114.0
vin,blanc,amod,ADJ,0.6016787886619568,"[{""id"": 61837, ""node1"": 35798, ""node2"": 15196, ""type"": 0, ""w"": 534.0}, {""id"": 54666180, ""node1"": 35798, ""node2"": 15196, ""type"": 5, ""w"": 76.0}, {""id"": 3170069, ""node1"": 35798, ""node2"": 15196, ""type"": 8, ""w"": 66.0}, {""id"": 8997815, ""node1"": 35798, ""node2"": 15196, ""type"": 17, ""w"": 39.0}, {""id"": 31148619, ""node1"": 35798, ""node2"": 15196, ""type"": 27, ""w"": 23.0}, {""id"": 3160066, ""node1"": 35798, ""node2"": 15196, ""type"": 106, ""w"": 6.0}, {""id"": 1526707, ""node1"": 35798, ""node2"": 15196, ""type"": 666, ""w"": 4.0}]",r_associated,534.0
set,poêle,nmod,NOUN,0.5301709771156311,[],,
cuillère,bois,nmod,NOUN,0.5910300612449646,"[{""id"": 423608378, ""node1"": 51905, ""node2"": 96256, ""type"": 0, ""w"": 41.0}, {""id"": 1977342, ""node1"": 51905, ""node2"": 96256, ""type"": 50, ""w"": 27.0}, {""id"": 3906289, ""node1"": 51905, ""node2"": 96256, ""type"": 777, ""w"": 9.0}]",r_associated,41.0
cuillère,balance,nmod,NOUN,0.5329062342643738,[],,
balance,cuisine,nmod,NOUN,0.5991910099983215,[],,
balance,assiette,nmod,NOUN,0.5656145215034485,[],,
assiette,étape,nmod,NOUN,0.483820229768753,[],,
cuire,pâte,obj,NOUN,0.7488689422607422,"[{""id"": 97862163, ""node1"": 5115, ""node2"": 34069, ""type"": 14, ""w"": 35.0}]",r_patient,35.0
fondre,beurre,obj,NOUN,0.643409252166748,"[{""id"": 24768980, ""node1"": 16480, ""node2"": 140377, ""type"": 13, ""w"": 35.0}, {""id"": 15086091, ""node1"": 16480, ""node2"": 140377, ""type"": 14, ""w"": 30.0}]",r_agent,35.0
poêle,petit,amod,ADJ,0.6650837063789368,[],,
ajouter,parmesan,obj,NOUN,0.6033021807670593,[],,
feu,doux,amod,ADJ,0.5496628284454346,[],,
homogène,sauce,nsubj,NOUN,0.6622551679611206,[],,
peu,muscade,nmod,NOUN,0.5311524868011475,[],,
mélanger,sauce,obj,NOUN,0.7105662822723389,"[{""id"": 343034831, ""node1"": 37151, ""node2"": 141110, ""type"": 14, ""w"": 31.0}]",r_patient,31.0
pâte,cuire,amod,VERB,0.7488689422607422,"[{""id"": 987166482, ""node1"": 34069, ""node2"": 5115, ""type"": 25, ""w"": -25.0}, {""id"": 96931380, ""node1"": 34069, ""node2"": 5115, ""type"": 26, ""w"": 32.0}]",r_patient-1,32.0
truffe,blanc,amod,ADJ,0.5904043912887573,[],,
truffe,assiette,nmod,NOUN,0.6488063335418701,[],,
assiette,pâte,nmod,NOUN,0.691804051399231,[],,
cuire,truffe,nsubj,NOUN,0.7775388360023499,[],,
