head,lemma,dep,pos,sim,relations,relation_name,w
mini,brick,flat:name,PROPN,0.4241170287132263,[],,
mini,apéritif,nmod,NOUN,0.4586800634860992,[],,
apéritif,ingrédient,nmod,NOUN,0.624790608882904,[],,
oignon,huile,amod,NOUN,0.633205235004425,"[{""id"": 3937482, ""node1"": 123307, ""node2"": 141971, ""type"": 777, ""w"": 1.0}]",r_wiki,1.0
apéritif,pinceau,appos,NOUN,0.5197091698646545,[],,
apéritif,étape,nmod,NOUN,0.4557951092720032,[],,
mini,feuille,nmod,NOUN,0.4409120976924896,[],,
feuille,brick,nmod,NOUN,0.4436377286911011,[],,
apposer,morceau,obj,NOUN,0.4489992558956146,[],,
morceau,fromage,nmod,NOUN,0.652549684047699,"[{""id"": 98623466, ""node1"": 65364, ""node2"": 141687, ""type"": 0, ""w"": 19.0}, {""id"": 97415355, ""node1"": 65364, ""node2"": 141687, ""type"": 10, ""w"": 26.0}, {""id"": 775213282, ""node1"": 65364, ""node2"": 141687, ""type"": 174, ""w"": 25.0}, {""id"": 980923936, ""node1"": 65364, ""node2"": 141687, ""type"": 666, ""w"": 3.0}]",r_holo,26.0
cuillère,café,nmod,NOUN,0.592677116394043,"[{""id"": 163839, ""node1"": 51905, ""node2"": 66324, ""type"": 0, ""w"": 180.0}, {""id"": 11354840, ""node1"": 51905, ""node2"": 66324, ""type"": 15, ""w"": 39.0}, {""id"": 720818158, ""node1"": 51905, ""node2"": 66324, ""type"": 174, ""w"": 25.0}]",r_associated,180.0
confit,oignon,nmod,NOUN,0.6382328867912292,"[{""id"": 419297, ""node1"": 95692, ""node2"": 123307, ""type"": 0, ""w"": 56.0}, {""id"": 699766122, ""node1"": 95692, ""node2"": 123307, ""type"": 666, ""w"": 2.0}]",r_associated,56.0
cuillère,soupe,nmod,NOUN,0.6452588438987732,"[{""id"": 139567, ""node1"": 51905, ""node2"": 117152, ""type"": 0, ""w"": 288.0}, {""id"": 960354064, ""node1"": 51905, ""node2"": 117152, ""type"": 82, ""w"": 33.0}, {""id"": 1912589, ""node1"": 51905, ""node2"": 117152, ""type"": 666, ""w"": 6.0}]",r_associated,288.0
soupe,huile,nmod,NOUN,0.676633894443512,"[{""id"": 3346889, ""node1"": 117152, ""node2"": 141971, ""type"": 777, ""w"": 9.0}]",r_wiki,9.0
huile,olive,nmod,ADJ,0.577674388885498,"[{""id"": 143577, ""node1"": 141971, ""node2"": 238, ""type"": 0, ""w"": 441.0}, {""id"": 580646, ""node1"": 141971, ""node2"": 238, ""type"": 5, ""w"": 35.0}, {""id"": 214590, ""node1"": 141971, ""node2"": 238, ""type"": 8, ""w"": 101.0}, {""id"": 9972834, ""node1"": 141971, ""node2"": 238, ""type"": 9, ""w"": 10.0}, {""id"": 96691611, ""node1"": 141971, ""node2"": 238, ""type"": 35, ""w"": 34.0}, {""id"": 1808072, ""node1"": 141971, ""node2"": 238, ""type"": 42, ""w"": 92.0}, {""id"": 653727906, ""node1"": 141971, ""node2"": 238, ""type"": 666, ""w"": 5.0}]",r_associated,441.0
revenir,minute,obj,NOUN,0.4577978253364563,[],,
minute,côté,nmod,NOUN,0.4591824114322662,[],,
rouleau,petit,amod,ADJ,0.4920805990695953,[],,
côté,rouleau,nmod,NOUN,0.4464561641216278,[],,
revenir,commencer,advcl,VERB,0.4192704856395721,[],,
côté,trouver,acl:relcl,VERB,0.4190632998943329,[],,
fondant,minute,nsubj,NOUN,0.5227657556533813,[],,
minute,fromage,appos,NOUN,0.6298389434814453,[],,
brick,croustillant,amod,ADJ,0.4562692940235138,[],,
