head,lemma,dep,pos,sim,relation,relation_name,w
Bayonne,ingrédient,nmod,NOUN,0.4905999004840851,[],,
poivre,sel,nmod,NOUN,0.6705341935157776,"[{""id"": 12368540, ""node1"": 139597, ""node2"": 13260, ""type"": 0, ""w"": 52.0}, {""id"": 1074615768, ""node1"": 139597, ""node2"": 13260, ""type"": 6, ""w"": -25.0}, {""id"": 1046576040, ""node1"": 139597, ""node2"": 13260, ""type"": 8, ""w"": 20.0}, {""id"": 288425680, ""node1"": 139597, ""node2"": 13260, ""type"": 35, ""w"": 51.0}, {""id"": 770758757, ""node1"": 139597, ""node2"": 13260, ""type"": 75, ""w"": 27.0}]",r_associated,52.0
fromage,jambon,nmod,NOUN,0.6229681372642517,"[{""id"": 1032954583, ""node1"": 141687, ""node2"": 57980, ""type"": 78, ""w"": 28.0}]",r_cohypo,28.0
jambon,croire,acl,VERB,0.581739604473114,[],,
croire,pignon,obj,NOUN,0.4071002304553985,[],,
pignon,huile,amod,NOUN,0.5422000885009766,"[{""id"": 6632396, ""node1"": 145454, ""node2"": 141971, ""type"": 777, ""w"": 10.0}]",r_wiki,10.0
cerise,four,nmod,NOUN,0.6996637582778931,[],,
four,top,nmod,NOUN,0.5501777529716492,"[{""id"": 509203905, ""node1"": 9190, ""node2"": 61057, ""type"": 17, ""w"": 27.0}]",r_carac,27.0
papier,meilleur,amod,ADJ,0.4798659384250641,[],,
top,papier,nmod,NOUN,0.4000419974327087,[],,
top,poêle,nmod,NOUN,0.5366419553756714,[],,
plaque,meilleur,amod,ADJ,0.5153307318687439,[],,
top,plaque,nmod,NOUN,0.4243907332420349,[],,
plaque,four,nmod,NOUN,0.6611073017120361,"[{""id"": 9977205, ""node1"": 145064, ""node2"": 9190, ""type"": 10, ""w"": 4.0}, {""id"": 7612093, ""node1"": 145064, ""node2"": 9190, ""type"": 777, ""w"": 10.0}]",r_wiki,10.0
cuillère,petit,amod,ADJ,0.5946335196495056,[],,
cuillère,assiette,nmod,NOUN,0.6252999305725098,"[{""id"": 168026, ""node1"": 51905, ""node2"": 62735, ""type"": 0, ""w"": 121.0}, {""id"": 251879, ""node1"": 51905, ""node2"": 62735, ""type"": 15, ""w"": 89.0}, {""id"": 1596071, ""node1"": 51905, ""node2"": 62735, ""type"": 20, ""w"": 51.0}]",r_associated,121.0
table,induction,amod,NOUN,0.5181390047073364,[],,
four,200,nmod,NUM,0.5053980350494385,[],,
table,degré,nmod,NOUN,0.4894592463970184,[],,
table,thermostat,appos,NOUN,0.5777412056922913,[],,
vider,éplucher,advcl,VERB,0.4229390323162079,[],,
éplucher,pomme,obj,NOUN,0.5793353319168091,"[{""id"": 399665, ""node1"": 59879, ""node2"": 37201, ""type"": 0, ""w"": 54.0}, {""id"": 423699, ""node1"": 59879, ""node2"": 37201, ""type"": 14, ""w"": 100.0}, {""id"": 980640573, ""node1"": 59879, ""node2"": 37201, ""type"": 666, ""w"": 2.0}]",r_patient,100.0
vider,centre,obj,NOUN,0.4207036793231964,"[{""id"": 13693322, ""node1"": 68460, ""node2"": 31970, ""type"": 31, ""w"": 61.0}]",r_action_lieu,61.0
couper,rondelle,obj,NOUN,0.4930605292320251,"[{""id"": 797551061, ""node1"": 128828, ""node2"": 71106, ""type"": 0, ""w"": 24.0}]",r_associated,24.0
rondelle,épais,amod,ADJ,0.4895803928375244,[],,
four,recouvrir,acl,VERB,0.6818683743476868,[],,
couper,bûche,obj,NOUN,0.5594751238822937,"[{""id"": 796690806, ""node1"": 128828, ""node2"": 45545, ""type"": 0, ""w"": 24.0}]",r_associated,24.0
bûche,chèvre,nmod,NOUN,0.5642986297607422,[],,
tranche,épais,amod,ADJ,0.468293696641922,[],,
rondelle,pomme,nmod,NOUN,0.5677298307418823,[],,
ajouter,cuillère,obj,NOUN,0.5465437173843384,[],,
cuillère,miel,nmod,NOUN,0.6475809812545776,"[{""id"": 662530131, ""node1"": 51905, ""node2"": 136055, ""type"": 0, ""w"": 21.0}, {""id"": 775213404, ""node1"": 51905, ""node2"": 136055, ""type"": 174, ""w"": 25.0}]",r_quantificateur-1,25.0
miel,dessus,nmod,ADV,0.5957164764404297,[],,
four,min,nmod,NOUN,0.5254760980606079,[],,
mode,grill,amod,ADJ,0.542815089225769,[],,
doré,chèvre,nsubj,NOUN,0.560448944568634,[],,
mettre,doré,advcl,ADJ,0.5361936092376709,[],,
temps,dorer,acl,VERB,0.537877082824707,[],,
dorer,pignon,obj,NOUN,0.5347620844841003,[],,
poêle,chaud,amod,ADJ,0.6645733714103699,"[{""id"": 278998504, ""node1"": 119686, ""node2"": 19150, ""type"": 0, ""w"": 26.0}, {""id"": 3078839, ""node1"": 119686, ""node2"": 19150, ""type"": 17, ""w"": 27.0}]",r_carac,27.0
matière,gras,amod,ADJ,0.5428515672683716,"[{""id"": 909483172, ""node1"": 29208, ""node2"": 56362, ""type"": 0, ""w"": 20.0}]",r_associated,20.0
passer,grille,obj,NOUN,0.5084636807441711,[],,
recouvrir,pomme,obj,NOUN,0.6046203970909119,[],,
pomme,chèvre,nmod,NOUN,0.5900604724884033,[],,
tranche,jambon,nmod,NOUN,0.5780830979347229,"[{""id"": 243905, ""node1"": 143123, ""node2"": 57980, ""type"": 0, ""w"": 71.0}, {""id"": 720817992, ""node1"": 143123, ""node2"": 57980, ""type"": 174, ""w"": 25.0}]",r_associated,71.0
assiette,accompagner,acl,VERB,0.5936256051063538,[],,
salade,tomate,nmod,NOUN,0.6603864431381226,"[{""id"": 129517, ""node1"": 118908, ""node2"": 22138, ""type"": 0, ""w"": 186.0}, {""id"": 97758137, ""node1"": 118908, ""node2"": 22138, ""type"": 9, ""w"": 31.0}, {""id"": 11333951, ""node1"": 118908, ""node2"": 22138, ""type"": 28, ""w"": 38.0}, {""id"": 765200127, ""node1"": 118908, ""node2"": 22138, ""type"": 50, ""w"": 27.0}, {""id"": 675297494, ""node1"": 118908, ""node2"": 22138, ""type"": 666, ""w"": 9.0}]",r_associated,186.0
tomate,cerise,amod,NOUN,0.5635725259780884,"[{""id"": 400423, ""node1"": 22138, ""node2"": 49073, ""type"": 0, ""w"": 84.0}, {""id"": 1029365094, ""node1"": 22138, ""node2"": 49073, ""type"": 67, ""w"": 34.0}]",r_associated,84.0
arroser,pignon,nsubj,NOUN,0.4744000434875488,[],,
filet,huile,nmod,NOUN,0.6150403022766113,[],,
huile,olive,nmod,NOUN,0.577674388885498,"[{""id"": 143577, ""node1"": 141971, ""node2"": 238, ""type"": 0, ""w"": 441.0}, {""id"": 580646, ""node1"": 141971, ""node2"": 238, ""type"": 5, ""w"": 35.0}, {""id"": 214590, ""node1"": 141971, ""node2"": 238, ""type"": 8, ""w"": 101.0}, {""id"": 9972834, ""node1"": 141971, ""node2"": 238, ""type"": 9, ""w"": 10.0}, {""id"": 96691611, ""node1"": 141971, ""node2"": 238, ""type"": 35, ""w"": 34.0}, {""id"": 1808072, ""node1"": 141971, ""node2"": 238, ""type"": 42, ""w"": 92.0}, {""id"": 653727906, ""node1"": 141971, ""node2"": 238, ""type"": 666, ""w"": 5.0}]",r_associated,441.0
dégustation,bon,amod,ADJ,0.4751738309860229,"[{""id"": 561348579, ""node1"": 107364, ""node2"": 144229, ""type"": 0, ""w"": 31.0}]",r_associated,31.0
