head,lemma,dep,pos,sim,relation,relation_name,w
bleu,ingrédient,nmod,NOUN,0.5274584889411926,"[{""id"": 24929873, ""node1"": 60, ""node2"": 123418, ""type"": 6, ""w"": 1.0}]",r_isa,1.0
sel,poivre,acl,NOUN,0.6705341935157776,"[{""id"": 125169, ""node1"": 13260, ""node2"": 139597, ""type"": 0, ""w"": 495.0}, {""id"": 1029365119, ""node1"": 13260, ""node2"": 139597, ""type"": 67, ""w"": 28.0}, {""id"": 74985058, ""node1"": 13260, ""node2"": 139597, ""type"": 75, ""w"": 160.0}, {""id"": 1032956770, ""node1"": 13260, ""node2"": 139597, ""type"": 78, ""w"": 39.0}, {""id"": 652227840, ""node1"": 13260, ""node2"": 139597, ""type"": 666, ""w"": 2.0}]",r_associated,495.0
bleu,salade,nmod,NOUN,0.5964180827140808,"[{""id"": 622661660, ""node1"": 60, ""node2"": 118908, ""type"": 10, ""w"": 35.0}]",r_holo,35.0
titre,saladier,nmod,NOUN,0.5138511061668396,[],,
saladier,cuillère,nmod,NOUN,0.6106023788452148,"[{""id"": 591359667, ""node1"": 45455, ""node2"": 51905, ""type"": 0, ""w"": 33.0}]",r_associated,33.0
cuillère,bois,nmod,NOUN,0.5910300612449646,"[{""id"": 423608378, ""node1"": 51905, ""node2"": 96256, ""type"": 0, ""w"": 41.0}, {""id"": 1977342, ""node1"": 51905, ""node2"": 96256, ""type"": 50, ""w"": 27.0}, {""id"": 3906289, ""node1"": 51905, ""node2"": 96256, ""type"": 777, ""w"": 9.0}]",r_associated,41.0
saladier,assiette,appos,NOUN,0.6438512206077576,[],,
assiette,étape,nmod,NOUN,0.483820229768753,[],,
saladier,saladier,nmod,NOUN,0.5224628448486328,"[{""id"": 331574, ""node1"": 45455, ""node2"": 45455, ""type"": 19, ""w"": 58.0}]",r_lemma,58.0
titre,mélanger,acl,VERB,0.4706915318965912,[],,
mélanger,fromage,obj,NOUN,0.6724821329116821,[],,
fromage,bleu,amod,NOUN,0.5518065094947815,"[{""id"": 208306, ""node1"": 141687, ""node2"": 60, ""type"": 0, ""w"": 193.0}, {""id"": 73835143, ""node1"": 141687, ""node2"": 60, ""type"": 5, ""w"": 34.0}, {""id"": 3192589, ""node1"": 141687, ""node2"": 60, ""type"": 8, ""w"": 76.0}, {""id"": 393957, ""node1"": 141687, ""node2"": 60, ""type"": 17, ""w"": 81.0}, {""id"": 3163506, ""node1"": 141687, ""node2"": 60, ""type"": 106, ""w"": 84.0}]",r_associated,193.0
mélanger,obtenir,advcl,VERB,0.4532898962497711,[],,
obtenir,mélange,obj,NOUN,0.4783641993999481,[],,
ajouter,noix,obj,NOUN,0.5746623277664185,[],,
morceau,petit,amod,ADJ,0.542499840259552,"[{""id"": 558707704, ""node1"": 65364, ""node2"": 55222, ""type"": 0, ""w"": 27.0}]",r_associated,27.0
ajouter,sel,obj,NOUN,0.6747812032699585,"[{""id"": 914306223, ""node1"": 25099, ""node2"": 13260, ""type"": 0, ""w"": 20.0}, {""id"": 220261, ""node1"": 25099, ""node2"": 13260, ""type"": 14, ""w"": 70.0}]",r_patient,70.0
garder,décorer,advcl,VERB,0.4461982548236847,[],,
utiliser,feuille,obj,NOUN,0.4916096925735473,[],,
mélange,dessus,nmod,ADV,0.5556350350379944,[],,
garder,frais,nmod,NOUN,0.439571738243103,[],,
garder,heure,obj,NOUN,0.420018196105957,[],,
ajouter,servir,advcl,VERB,0.4676842093467712,[],,
poser,feuille,obj,NOUN,0.4619184136390686,[],,
feuille,salade,nmod,NOUN,0.615514874458313,"[{""id"": 614208544, ""node1"": 37993, ""node2"": 118908, ""type"": 0, ""w"": 30.0}, {""id"": 775213406, ""node1"": 37993, ""node2"": 118908, ""type"": 174, ""w"": 25.0}]",r_associated,30.0
feuille,assiette,nmod,NOUN,0.5802052617073059,[],,
feuille,garni,amod,ADJ,0.4998486042022705,[],,
apéro,petit,amod,ADJ,0.5052359700202942,[],,
apéro,frais,amod,ADJ,0.467710942029953,"[{""id"": 373014473, ""node1"": 110915, ""node2"": 53495, ""type"": 17, ""w"": 26.0}]",r_carac,26.0
