head,lemma,dep,pos,sim,relation,relation_name,w
titre,faire,nmod,VERB,0.4374700486660003,[],,
faire,ingrédient,nmod,NOUN,0.6170313358306885,[],,
faire,orange,amod,NOUN,0.5642250180244446,[],,
faire,poisson,appos,NOUN,0.6561558842658997,[],,
poisson,fenouil,nmod,VERB,0.688228964805603,[],,
poisson,citron,nmod,NOUN,0.6803808808326721,"[{""id"": 423999145, ""node1"": 68467, ""node2"": 15386, ""type"": 0, ""w"": 16.0}]",r_associated,16.0
vert,huile,amod,NOUN,0.588585376739502,[],,
faire,four,nmod,NOUN,0.6978347897529602,[],,
saladier,cuillère,nmod,NOUN,0.6106023788452148,"[{""id"": 591359667, ""node1"": 45455, ""node2"": 51905, ""type"": 0, ""w"": 32.0}]",r_associated,32.0
cuillère,bois,nmod,NOUN,0.5910300612449646,"[{""id"": 423608378, ""node1"": 51905, ""node2"": 96256, ""type"": 0, ""w"": 41.0}, {""id"": 1977342, ""node1"": 51905, ""node2"": 96256, ""type"": 50, ""w"": 27.0}, {""id"": 3906289, ""node1"": 51905, ""node2"": 96256, ""type"": 777, ""w"": 9.0}]",r_associated,41.0
faire,découper,advcl,VERB,0.4855707883834839,[],,
découper,étape,obj,NOUN,0.4244579374790191,[],,
faire,rincer,acl,VERB,0.4911632835865021,[],,
fond,plat,nmod,NOUN,0.5886687636375427,"[{""id"": 961890508, ""node1"": 119272, ""node2"": 36327, ""type"": 10, ""w"": 25.0}]",r_holo,25.0
vider,échalote,obj,NOUN,0.5394020080566406,[],,
zeste,citron,nmod,NOUN,0.5487085580825806,"[{""id"": 615058522, ""node1"": 98173, ""node2"": 15386, ""type"": 0, ""w"": 22.0}, {""id"": 9991099, ""node1"": 98173, ""node2"": 15386, ""type"": 10, ""w"": 4.0}, {""id"": 377014851, ""node1"": 98173, ""node2"": 15386, ""type"": 20, ""w"": 34.0}, {""id"": 986046177, ""node1"": 98173, ""node2"": 15386, ""type"": 666, ""w"": 2.0}]",r_has_magn,34.0
citron,vert,amod,ADJ,0.5348256230354309,"[{""id"": 1559582, ""node1"": 15386, ""node2"": 26976, ""type"": 0, ""w"": 61.0}, {""id"": 1773945, ""node1"": 15386, ""node2"": 26976, ""type"": 17, ""w"": 26.0}, {""id"": 3160941, ""node1"": 15386, ""node2"": 26976, ""type"": 106, ""w"": 10.0}]",r_associated,61.0
presser,jus,obj,NOUN,0.5542571544647217,"[{""id"": 9358105, ""node1"": 47617, ""node2"": 53310, ""type"": 0, ""w"": 46.0}, {""id"": 2259467, ""node1"": 47617, ""node2"": 53310, ""type"": 35, ""w"": 27.0}, {""id"": 653326907, ""node1"": 47617, ""node2"": 53310, ""type"": 666, ""w"": 10.0}]",r_associated,46.0
jus,citron,nmod,NOUN,0.5887953042984009,"[{""id"": 1718366, ""node1"": 53310, ""node2"": 15386, ""type"": 0, ""w"": 91.0}, {""id"": 9625998, ""node1"": 53310, ""node2"": 15386, ""type"": 8, ""w"": 22.0}, {""id"": 376199014, ""node1"": 53310, ""node2"": 15386, ""type"": 16, ""w"": -42.0}, {""id"": 765133846, ""node1"": 53310, ""node2"": 15386, ""type"": 80, ""w"": 26.0}, {""id"": 651234559, ""node1"": 53310, ""node2"": 15386, ""type"": 666, ""w"": 3.0}]",r_associated,91.0
retirer,feuille,obj,NOUN,0.4820106327533722,[],,
feuille,extérieur,amod,ADJ,0.4839543104171753,[],,
feuille,bâton,nmod,NOUN,0.4723773002624511,[],,
tranche,grossier,amod,ADJ,0.4619735181331634,[],,
séparer,bulbe,obj,NOUN,0.4421361684799194,[],,
bulbe,tige,nmod,NOUN,0.4211565256118774,"[{""id"": 356633761, ""node1"": 143079, ""node2"": 25437, ""type"": 0, ""w"": 116.0}, {""id"": 264334318, ""node1"": 143079, ""node2"": 25437, ""type"": 6, ""w"": 27.0}, {""id"": 7814316, ""node1"": 143079, ""node2"": 25437, ""type"": 777, ""w"": 10.0}]",r_associated,116.0
tige,fenouil,nmod,NOUN,0.5200079679489136,[],,
