head,lemma,dep,pos,sim,relation,relation_name,w
miel,chocolat,nmod,NOUN,0.6103922128677368,[],,
miel,levure,nmod,NOUN,0.647193193435669,[],,
levure,chimique,amod,ADJ,0.5426356792449951,"[{""id"": 1768889, ""node1"": 53450, ""node2"": 123153, ""type"": 666, ""w"": 2.0}]",r_aki,2.0
avoine,oeuf,appos,NOUN,0.559317409992218,[],,
oeuf,lait,nmod,NOUN,0.590930700302124,"[{""id"": 588348000, ""node1"": 116175, ""node2"": 86296, ""type"": 0, ""w"": 47.0}, {""id"": 386065476, ""node1"": 116175, ""node2"": 86296, ""type"": 6, ""w"": -25.0}, {""id"": 283880823, ""node1"": 116175, ""node2"": 86296, ""type"": 78, ""w"": 35.0}]",r_associated,47.0
lait,amande,nmod,NOUN,0.5926035642623901,[],,
amande,fruit,nmod,NOUN,0.5484750270843506,"[{""id"": 159136, ""node1"": 28557, ""node2"": 87286, ""type"": 0, ""w"": 95.0}, {""id"": 469153, ""node1"": 28557, ""node2"": 87286, ""type"": 3, ""w"": 38.0}, {""id"": 506377, ""node1"": 28557, ""node2"": 87286, ""type"": 6, ""w"": 116.0}, {""id"": 404677, ""node1"": 28557, ""node2"": 87286, ""type"": 10, ""w"": 53.0}, {""id"": 15809950, ""node1"": 28557, ""node2"": 87286, ""type"": 35, ""w"": 65.0}, {""id"": 962115932, ""node1"": 28557, ""node2"": 87286, ""type"": 666, ""w"": 2.0}]",r_isa,116.0
fruit,sec,amod,ADJ,0.4956011176109314,"[{""id"": 796701053, ""node1"": 87286, ""node2"": 63619, ""type"": 0, ""w"": 24.0}, {""id"": 14805636, ""node1"": 87286, ""node2"": 63619, ""type"": 17, ""w"": 22.0}]",r_associated,24.0
grille,pâtisserie,nmod,NOUN,0.5746439099311829,[],,
pâtisserie,bol,nmod,NOUN,0.5730090141296387,[],,
bol,cuillère,nmod,NOUN,0.5572551488876343,"[{""id"": 1046576301, ""node1"": 145405, ""node2"": 51905, ""type"": 8, ""w"": 20.0}]",r_hypo,20.0
cuillère,bois,nmod,NOUN,0.5910300612449646,"[{""id"": 423608378, ""node1"": 51905, ""node2"": 96256, ""type"": 0, ""w"": 41.0}, {""id"": 1977342, ""node1"": 51905, ""node2"": 96256, ""type"": 50, ""w"": 27.0}, {""id"": 3906289, ""node1"": 51905, ""node2"": 96256, ""type"": 777, ""w"": 9.0}]",r_associated,41.0
cuillère,micro-onde,nmod,NOUN,0.6352164149284363,[],,
cuillère,étape,nmod,NOUN,0.4685819745063782,[],,
ingrédient,tout,amod,ADJ,0.580045223236084,[],,
ingrédient,bol,nmod,NOUN,0.5688884854316711,[],,
chauffeur,faire,amod,NOUN,0.4638764858245849,[],,
chauffeur,micro-ondes,nmod,ADV,0.4955700635910034,[],,
micro-ondes,minute,nmod,NOUN,0.4936029613018036,[],,
puissance,plein,amod,ADJ,0.4472081959247589,[],,
minute,puissance,nmod,NOUN,0.4237748980522156,[],,
