head,lemma,dep,pos,sim,relations,relation_name,w
beurre,gruyère,nmod,NOUN,0.6510725021362305,[],,
sauce,provençal,amod,ADJ,0.6882877945899963,[],,
brique,herbe,nmod,NOUN,0.5248830318450928,[],,
brique,Provence,nmod,PROPN,0.4993741512298584,[],,
Plat,gratin,nmod,NOUN,0.4779236614704132,[],,
plaque,meilleur,amod,ADJ,0.5153307318687439,[],,
top,plaque,nmod,NOUN,0.4243907332420349,[],,
plaque,four,nmod,NOUN,0.6611073017120361,"[{""id"": 9977205, ""node1"": 145064, ""node2"": 9190, ""type"": 10, ""w"": 4.0}, {""id"": 7612093, ""node1"": 145064, ""node2"": 9190, ""type"": 777, ""w"": 10.0}]",r_wiki,10.0
four,moule,nmod,NOUN,0.6459261178970337,"[{""id"": 914324367, ""node1"": 9190, ""node2"": 143723, ""type"": 0, ""w"": 20.0}, {""id"": 149292258, ""node1"": 9190, ""node2"": 143723, ""type"": 28, ""w"": 71.0}]",r_lieu-1,71.0
cake,couvercle,appos,NOUN,0.576450526714325,[],,
four,fourchette,nmod,NOUN,0.6831614375114441,[],,
balance,cuisine,nmod,NOUN,0.5991910099983215,[],,
table,induction,amod,NOUN,0.5181390047073364,[],,
dorer,oignon,obj,NOUN,0.6056223511695862,"[{""id"": 1021986507, ""node1"": 67147, ""node2"": 123307, ""type"": 0, ""w"": 40.0}, {""id"": 93571698, ""node1"": 67147, ""node2"": 123307, ""type"": 13, ""w"": 30.0}, {""id"": 93547211, ""node1"": 67147, ""node2"": 123307, ""type"": 14, ""w"": 30.0}]",r_associated,40.0
huile,olive,nmod,NOUN,0.577674388885498,"[{""id"": 143577, ""node1"": 141971, ""node2"": 238, ""type"": 0, ""w"": 441.0}, {""id"": 580646, ""node1"": 141971, ""node2"": 238, ""type"": 5, ""w"": 35.0}, {""id"": 214590, ""node1"": 141971, ""node2"": 238, ""type"": 8, ""w"": 101.0}, {""id"": 9972834, ""node1"": 141971, ""node2"": 238, ""type"": 9, ""w"": 10.0}, {""id"": 96691611, ""node1"": 141971, ""node2"": 238, ""type"": 35, ""w"": 34.0}, {""id"": 1808072, ""node1"": 141971, ""node2"": 238, ""type"": 42, ""w"": 92.0}, {""id"": 653727906, ""node1"": 141971, ""node2"": 238, ""type"": 666, ""w"": 5.0}]",r_associated,441.0
ajouter,steak,obj,NOUN,0.6394214630126953,[],,
steak,haché,acl,ADJ,0.5815715193748474,"[{""id"": 388387, ""node1"": 55572, ""node2"": 47887, ""type"": 0, ""w"": 180.0}, {""id"": 50819527, ""node1"": 55572, ""node2"": 47887, ""type"": 17, ""w"": 61.0}, {""id"": 1789185, ""node1"": 55572, ""node2"": 47887, ""type"": 666, ""w"": 1.0}]",r_associated,180.0
herbe,Provence,nmod,PROPN,0.4220801889896393,[],,
grillé,viande,nsubj,NOUN,0.7293317317962646,"[{""id"": 14785850, ""node1"": 141899, ""node2"": 140100, ""type"": 23, ""w"": 35.0}, {""id"": 997401915, ""node1"": 141899, ""node2"": 140100, ""type"": 666, ""w"": 2.0}]",r_carac-1,35.0
prendre,moule,obj,NOUN,0.524421215057373,[],,
verser,lait,obj,NOUN,0.5939220190048218,"[{""id"": 2147735, ""node1"": 104506, ""node2"": 86296, ""type"": 14, ""w"": 30.0}, {""id"": 645787359, ""node1"": 104506, ""node2"": 86296, ""type"": 666, ""w"": 2.0}]",r_patient,30.0
fond,moule,nmod,NOUN,0.5315449237823486,"[{""id"": 796741908, ""node1"": 119272, ""node2"": 143723, ""type"": 0, ""w"": 30.0}, {""id"": 961890616, ""node1"": 119272, ""node2"": 143723, ""type"": 10, ""w"": 25.0}]",r_associated,30.0
mettre,plaque,obj,NOUN,0.5259286761283875,[],,
mettre,recouvrir,advcl,VERB,0.4560843110084533,[],,
recouvrir,peu,obj,ADV,0.4637209773063659,[],,
peu,viande,nmod,NOUN,0.6189714074134827,[],,
crème,liquide,amod,ADJ,0.6173139810562134,"[{""id"": 96714687, ""node1"": 44001, ""node2"": 140315, ""type"": 0, ""w"": 35.0}, {""id"": 96714688, ""node1"": 44001, ""node2"": 140315, ""type"": 6, ""w"": 33.0}, {""id"": 31815506, ""node1"": 44001, ""node2"": 140315, ""type"": 17, ""w"": 52.0}, {""id"": 306776466, ""node1"": 44001, ""node2"": 140315, ""type"": 666, ""w"": 3.0}]",r_carac,52.0
plaque,nouveau,amod,ADJ,0.5243198275566101,[],,
sommet,moule,nmod,NOUN,0.4653234779834747,[],,
plaque,dernier,amod,ADJ,0.4963156580924988,[],,
gruyère,râpé,amod,ADV,0.5169720649719238,"[{""id"": 1582298, ""node1"": 54095, ""node2"": 52123, ""type"": 0, ""w"": 140.0}, {""id"": 477608590, ""node1"": 54095, ""node2"": 52123, ""type"": 17, ""w"": 26.0}]",r_associated,140.0
noisette,beurre,nmod,NOUN,0.6675335168838501,"[{""id"": 120202, ""node1"": 67819, ""node2"": 140377, ""type"": 0, ""w"": 70.0}, {""id"": 775213357, ""node1"": 67819, ""node2"": 140377, ""type"": 174, ""w"": 25.0}]",r_associated,70.0
cuisson,bon,amod,ADJ,0.6155744194984436,[],,
cuisson,pâte,nmod,NOUN,0.7189537286758423,"[{""id"": 915053269, ""node1"": 60056, ""node2"": 34069, ""type"": 0, ""w"": 20.0}, {""id"": 376106703, ""node1"": 60056, ""node2"": 34069, ""type"": 109, ""w"": 29.0}]",r_has_predecesseur-time,29.0
cuisson,fourchette,nmod,NOUN,0.7162907123565674,[],,
