head,lemma,dep,pos,sim,relations,relation_name,w
titre,Poulet,nmod,PROPN,0.4211511015892029,[],,
Poulet,ingrédient,nmod,NOUN,0.5628471970558167,[],,
Poulet,sucre,nmod,NOUN,0.6604923605918884,[],,
sucre,vinaigre,nmod,NOUN,0.6951253414154053,[],,
vinaigre,huile,amod,NOUN,0.6314905285835266,"[{""id"": 2139914, ""node1"": 145443, ""node2"": 141971, ""type"": 0, ""w"": 86.0}, {""id"": 1046576307, ""node1"": 145443, ""node2"": 141971, ""type"": 8, ""w"": 20.0}]",r_associated,86.0
huile,sésame,nmod,NOUN,0.6178574562072754,"[{""id"": 12295235, ""node1"": 141971, ""node2"": 18404, ""type"": 0, ""w"": 43.0}, {""id"": 580644, ""node1"": 141971, ""node2"": 18404, ""type"": 5, ""w"": 32.0}, {""id"": 88080850, ""node1"": 141971, ""node2"": 18404, ""type"": 35, ""w"": 32.0}, {""id"": 380316783, ""node1"": 141971, ""node2"": 18404, ""type"": 54, ""w"": 34.0}]",r_associated,43.0
sésame,gingembre,nmod,NOUN,0.6100141406059265,[],,
gingembre,poulet,nmod,NOUN,0.6895540356636047,"[{""id"": 3573441, ""node1"": 77020, ""node2"": 146261, ""type"": 777, ""w"": 10.0}]",r_wiki,10.0
saladier,cuillère,nmod,NOUN,0.6106023788452148,"[{""id"": 591359667, ""node1"": 45455, ""node2"": 51905, ""type"": 0, ""w"": 32.0}]",r_associated,32.0
cuillère,bois,nmod,NOUN,0.5910300612449646,"[{""id"": 423608378, ""node1"": 51905, ""node2"": 96256, ""type"": 0, ""w"": 41.0}, {""id"": 1977342, ""node1"": 51905, ""node2"": 96256, ""type"": 50, ""w"": 27.0}, {""id"": 3906289, ""node1"": 51905, ""node2"": 96256, ""type"": 777, ""w"": 9.0}]",r_associated,41.0
cuillère,couvercle,nmod,NOUN,0.6197326183319092,[],,
couvercle,balance,nmod,NOUN,0.5437039136886597,[],,
balance,cuisine,nmod,NOUN,0.5991910099983215,[],,
saladier,étape,nmod,NOUN,0.5214974880218506,[],,
Mélangez,jus,obj,NOUN,0.5597732663154602,[],,
jus,gingembre,nmod,NOUN,0.5874293446540833,"[{""id"": 651234569, ""node1"": 53310, ""node2"": 77020, ""type"": 666, ""w"": 3.0}]",r_aki,3.0
saladier,soja,acl,NOUN,0.6429378986358643,[],,
saladier,vinaigre,appos,NOUN,0.6685875654220581,"[{""id"": 44044846, ""node1"": 45455, ""node2"": 145443, ""type"": 28, ""w"": 132.0}]",r_lieu-1,132.0
vinaigre,japonais,amod,ADJ,0.5914632081985474,[],,
ajouter,morceau,obj,NOUN,0.5419883728027344,[],,
morceau,poulet,nmod,NOUN,0.6684615612030029,"[{""id"": 775213395, ""node1"": 65364, ""node2"": 146261, ""type"": 174, ""w"": 25.0}]",r_quantificateur-1,25.0
morceau,sauce,nmod,NOUN,0.7245985269546509,[],,
poulet,marinade,nmod,NOUN,0.7007303833961487,[],,
réserver,marinade,obj,NOUN,0.6374384164810181,[],,
chauffer,peu,obj,ADV,0.507858157157898,[],,
peu,huile,acl,NOUN,0.5692240595817566,[],,
sauter,morceau,obj,NOUN,0.5533602237701416,[],,
morceau,feu,nmod,NOUN,0.5863549709320068,[],,
feu,vif,amod,ADJ,0.5094798803329468,"[{""id"": 418102926, ""node1"": 143703, ""node2"": 80204, ""type"": 0, ""w"": 13.0}, {""id"": 221184, ""node1"": 143703, ""node2"": 80204, ""type"": 17, ""w"": 52.0}]",r_carac,52.0
cuit,poulet,nsubj:pass,NOUN,0.745978057384491,"[{""id"": 637146242, ""node1"": 28105, ""node2"": 146261, ""type"": 0, ""w"": 51.0}, {""id"": 2454277, ""node1"": 28105, ""node2"": 146261, ""type"": 23, ""w"": 75.0}]",r_carac-1,75.0
ce,cuit,acl,ADJ,0.4674714505672455,[],,
devenir,sauce,nsubj,NOUN,0.6666778922080994,[],,
servir,accompagner,advcl,VERB,0.4404352605342865,[],,
accompagner,riz,obj,NOUN,0.6580126881599426,[],,
